,year,manufacturer,model,avg_rating,count,id
131,2013,audi,a3,4.875,1,131
132,2015,audi,a3,3.960365854,41,132
133,2016,audi,a3,4.115384615,26,133
134,2017,audi,a3,5,9,134
135,2018,audi,a3,5,5,135
136,1997,audi,a4,4.225877193,57,136
137,1998,audi,a4,4.030681818,110,137
138,1999,audi,a4,4.224747475,99,138
139,2000,audi,a4,4.175,55,139
140,2001,audi,a4,4.220360825,97,140
141,2002,audi,a4,4.373893805,113,141
142,2003,audi,a4,4.367774566,173,142
143,2004,audi,a4,4.41969697,165,143
144,2005,audi,a4,4.553209459,148,144
145,2006,audi,a4,4.428571429,126,145
146,2007,audi,a4,4.401209677,124,146
147,2008,audi,a4,4.481481481,54,147
148,2009,audi,a4,4.132415254,118,148
149,2010,audi,a4,4.302419355,62,149
150,2011,audi,a4,4.303571429,21,150
151,2012,audi,a4,3.638888889,18,151
152,2013,audi,a4,4.132352941,17,152
153,2014,audi,a4,5,10,153
154,2015,audi,a4,4.714285714,7,154
155,2016,audi,a4,3.583333333,12,155
156,2017,audi,a4,4.462962963,54,156
157,2018,audi,a4,4.764705882,17,157
158,2008,audi,a5,4.865384615,26,158
159,2009,audi,a5,4.7421875,32,159
160,2010,audi,a5,4.798780488,41,160
161,2011,audi,a5,4.29,25,161
162,2012,audi,a5,4.2,5,162
163,2013,audi,a5,4.333333333,6,163
164,2014,audi,a5,4.96875,4,164
165,2015,audi,a5,4.444444444,9,165
166,2016,audi,a5,5,6,166
167,2017,audi,a5,3,2,167
168,2018,audi,a5,4.65,20,168
169,1997,audi,a6,4.39375,20,169
170,1998,audi,a6,4.0675,50,170
171,1999,audi,a6,4.153333333,75,171
172,2000,audi,a6,4.211111111,90,172
173,2001,audi,a6,4.257731959,97,173
174,2002,audi,a6,4.429123711,97,174
175,2003,audi,a6,4.289705882,85,175
176,2004,audi,a6,4.685064935,77,176
177,2005,audi,a6,4.651315789,95,177
178,2006,audi,a6,4.676724138,87,178
179,2007,audi,a6,4.71875,24,179
180,2008,audi,a6,4.673913043,46,180
181,2009,audi,a6,4.325,10,181
182,2010,audi,a6,4.454545455,22,182
183,2011,audi,a6,4.534090909,11,183
184,2012,audi,a6,4.867424242,33,184
185,2013,audi,a6,4.442307692,13,185
186,2014,audi,a6,4.515625,24,186
187,2015,audi,a6,4.5,8,187
188,2016,audi,a6,4.387096774,31,188
189,2017,audi,a6,4.692307692,13,189
190,2018,audi,a6,5,5,190
191,2012,audi,a7,4.84375,4,191
192,2013,audi,a7,4.410714286,7,192
193,2014,audi,a7,5,1,193
194,2015,audi,a7,3.5,2,194
195,2016,audi,a7,5,7,195
196,1997,audi,a8,4.5546875,16,196
197,1998,audi,a8,4.541666667,12,197
198,1999,audi,a8,4.619047619,21,198
199,2000,audi,a8,4.78125,12,199
200,2001,audi,a8,4.3828125,16,200
201,2002,audi,a8,4.821428571,7,201
202,2003,audi,a8,4.017857143,7,202
203,2004,audi,a8,4.581081081,74,203
204,2005,audi,a8,4.572916667,84,204
205,2006,audi,a8,4.871212121,33,205
206,2007,audi,a8,4.754032258,31,206
207,2008,audi,a8,4.9,10,207
208,2009,audi,a8,4.763888889,9,208
209,2010,audi,a8,5,1,209
210,2011,audi,a8,4.375,4,210
211,2012,audi,a8,4.34375,4,211
212,2013,audi,a8,4.571428571,7,212
213,2014,audi,a8,4.875,5,213
214,2015,audi,a8,4.692307692,13,214
215,2016,audi,a8,5,4,215
216,2017,audi,a8,4.666666667,3,216
217,2001,audi,allroad,4.315,25,217
218,2002,audi,allroad,4.475,35,218
219,2003,audi,allroad,4.479591837,49,219
220,2004,audi,allroad,4.65,40,220
221,2005,audi,allroad,4.689814815,27,221
222,2013,audi,allroad,4.875,8,222
223,2014,audi,allroad,4.333333333,3,223
224,1997,audi,cabriolet,4.170454545,11,224
225,1998,audi,cabriolet,4.375,5,225
226,2015,audi,q3,4.276785714,14,226
227,2016,audi,q3,4.285714286,14,227
228,2017,audi,q3,4,11,228
229,2018,audi,q3,4.166666667,6,229
230,2009,audi,q5,4.662280702,57,230
231,2010,audi,q5,4.639830508,59,231
232,2011,audi,q5,4.400510204,49,232
233,2012,audi,q5,4.043918919,37,233
234,2013,audi,q5,4.763888889,9,234
235,2014,audi,q5,4.154411765,34,235
236,2015,audi,q5,4.068181818,33,236
237,2016,audi,q5,4.638888889,36,237
238,2017,audi,q5,4.333333333,15,238
239,2018,audi,q5,3.632653061,49,239
240,2014,audi,q5 hybrid,5,1,240
241,2007,audi,q7,4.324127907,86,241
242,2008,audi,q7,4.216346154,26,242
243,2009,audi,q7,3.766304348,23,243
244,2010,audi,q7,4.927083333,12,244
245,2011,audi,q7,4.431818182,11,245
246,2012,audi,q7,4.75,4,246
247,2013,audi,q7,4.609375,8,247
248,2014,audi,q7,3.910714286,7,248
249,2015,audi,q7,4.058823529,17,249
250,2017,audi,q7,3.846153846,65,250
251,2018,audi,q7,4.135135135,37,251
252,2008,audi,r8,4.946428571,7,252
253,2009,audi,r8,4.916666667,6,253
254,2010,audi,r8,4.875,1,254
255,2011,audi,r8,4.833333333,3,255
256,2014,audi,r8,4.375,2,256
257,2015,audi,r8,5,1,257
258,2017,audi,r8,5,1,258
259,2003,audi,rs,4.759615385,13,259
260,2007,audi,rs,4.842592593,27,260
261,2008,audi,rs,4.701923077,13,261
262,2013,audi,rs,4.925,5,262
263,2014,audi,rs,5,4,263
264,2016,audi,rs,5,2,264
265,2018,audi,rs,5,2,265
266,2015,audi,s3,4.795454545,11,266
267,2016,audi,s3,4.75,12,267
268,2017,audi,s3,5,4,268
269,2018,audi,s3,5,1,269
270,2000,audi,s4,4.665625,40,270
271,2001,audi,s4,4.658783784,37,271
272,2002,audi,s4,4.62890625,32,272
273,2004,audi,s4,4.60864486,107,273
274,2005,audi,s4,4.65625,84,274
275,2006,audi,s4,4.761904762,21,275
276,2007,audi,s4,4.658333333,15,276
277,2008,audi,s4,4.395833333,6,277
278,2010,audi,s4,4.948529412,17,278
279,2011,audi,s4,4.836538462,13,279
280,2012,audi,s4,4.4375,6,280
281,2013,audi,s4,4.75,7,281
282,2014,audi,s4,4.329545455,11,282
283,2015,audi,s4,4.84375,8,283
284,2016,audi,s4,5,1,284
285,2018,audi,s4,5,5,285
286,2008,audi,s5,4.758928571,14,286
287,2009,audi,s5,4.652777778,9,287
288,2010,audi,s5,4.892857143,14,288
289,2011,audi,s5,4.828125,8,289
290,2012,audi,s5,4.96875,4,290
291,2013,audi,s5,4.78125,4,291
292,2015,audi,s5,3.75,4,292
293,2016,audi,s5,4.857142857,7,293
294,2018,audi,s5,4.230769231,13,294
295,2002,audi,s6,4.75,16,295
296,2003,audi,s6,4.419642857,14,296
297,2007,audi,s6,4.734375,8,297
298,2008,audi,s6,4.791666667,9,298
299,2010,audi,s6,4.5,1,299
300,2011,audi,s6,4.875,1,300
301,2013,audi,s6,4,2,301
302,2016,audi,s6,4.875,8,302
303,2017,audi,s6,4.5,4,303
304,2018,audi,s6,5,1,304
305,2013,audi,s7,4.9375,2,305
306,2014,audi,s7,4.625,3,306
307,2016,audi,s7,5,2,307
308,2017,audi,s7,5,2,308
309,2018,audi,s7,5,1,309
310,2001,audi,s8,4.822916667,12,310
311,2002,audi,s8,4.6125,10,311
312,2003,audi,s8,4.333333333,6,312
313,2007,audi,s8,4.6328125,16,313
314,2008,audi,s8,4.75,3,314
315,2009,audi,s8,4.875,1,315
316,2013,audi,s8,5,1,316
317,2014,audi,sq5,4.35,5,317
318,2015,audi,sq5,3.75,4,318
319,2016,audi,sq5,5,6,319
320,2017,audi,sq5,4.75,4,320
321,2018,audi,sq5,5,7,321
322,2000,audi,tt,4.496428571,35,322
323,2001,audi,tt,4.50375,100,323
324,2002,audi,tt,4.655844156,77,324
325,2003,audi,tt,4.648333333,75,325
326,2004,audi,tt,4.741666667,75,326
327,2005,audi,tt,4.870833333,30,327
328,2006,audi,tt,4.847222222,9,328
329,2008,audi,tt,4.846153846,39,329
330,2009,audi,tt,4.859375,8,330
331,2010,audi,tt,4.75,1,331
332,2011,audi,tt,4.958333333,3,332
333,2012,audi,tt,4.75,4,333
334,2013,audi,tt,4.78125,4,334
335,2014,audi,tt,4.4375,2,335
336,2016,audi,tt,4.75,8,336
337,2017,audi,tt,5,1,337
338,2018,audi,tt,5,1,338
339,2009,audi,tts,4.875,5,339
340,2010,audi,tts,4.90625,4,340
341,2012,audi,tts,4.375,2,341
342,2013,audi,tts,4,1,342
343,2014,audi,tts,5,1,343
344,2015,audi,tts,5,1,344
345,2016,audi,tts,4.666666667,3,345
346,2017,audi,tts,5,3,346
347,2008,bmw,1 series,4.621621622,74,347
348,2009,bmw,1 series,4.555921053,38,348
349,2010,bmw,1 series,4.3828125,16,349
350,2011,bmw,1 series,4.46484375,32,350
351,2012,bmw,1 series,4.840909091,11,351
352,2013,bmw,1 series,4.375,12,352
353,2014,bmw,2 series,4,2,353
354,2015,bmw,2 series,4.75,8,354
355,2016,bmw,2 series,4.277777778,18,355
356,2017,bmw,2 series,4.8,10,356
357,2018,bmw,2 series,5,2,357
358,1997,bmw,3 series,4.59765625,64,358
359,1998,bmw,3 series,4.712719298,57,359
360,1999,bmw,3 series,4.460294118,85,360
361,2000,bmw,3 series,4.424270073,137,361
362,2001,bmw,3 series,4.504716981,159,362
363,2002,bmw,3 series,4.519005848,171,363
364,2003,bmw,3 series,4.509090909,165,364
365,2004,bmw,3 series,4.563414634,205,365
366,2005,bmw,3 series,4.635261194,134,366
367,2006,bmw,3 series,4.274038462,104,367
368,2007,bmw,3 series,4.305327869,183,368
369,2008,bmw,3 series,4.410502959,169,369
370,2009,bmw,3 series,4.511811024,127,370
371,2010,bmw,3 series,4.35,55,371
372,2011,bmw,3 series,4.19538835,103,372
373,2012,bmw,3 series,4.335526316,19,373
374,2013,bmw,3 series,4.189285714,35,374
375,2014,bmw,3 series,4.60546875,64,375
376,2015,bmw,3 series,3.947916667,36,376
